Timestamp,Ticket,Action,Volume,Price,Realized_PnL,Reason
2026-09-22 05:38:40,2377413922,OPEN,0.01,4317.45,0.0,Momentum
2026-09-22 05:39:08,2377413904,CLOSE,0.01,4319.95,-2.51,STOP_HIT
2026-09-22 05:39:08,2377413922,CLOSE,0.01,4320.36,-2.51,STOP_HIT
2026-09-22 05:41:31,2377425564,OPEN,0.01,4324.66,0.0,Momentum
2026-09-22 05:41:31,2377425570,OPEN,0.01,4324.57,0.0,Momentum
2026-09-22 05:42:08,2377427323,OPEN,0.01,4325.35,0.0,Momentum
2026-09-22 05:42:08,2377427329,OPEN,0.01,4325.35,0.0,Momentum
2026-09-22 05:43:04,2377430421,OPEN,0.01,4326.63,0.0,Momentum
2026-09-22 05:43:04,2377430424,OPEN,0.01,4326.63,0.0,Momentum
2026-09-22 05:43:28,2377430421,CLOSE,0.01,4323.94,-2.69,STOP_HIT
2026-09-22 05:43:28,2377430424,CLOSE,0.01,4323.94,-2.69,STOP_HIT
2026-09-22 05:44:56,2377438008,OPEN,0.01,4320.45,0.0,Momentum
2026-09-22 05:44:56,2377438020,OPEN,0.01,4320.38,0.0,Momentum
2026-09-22 05:45:21,2377438008,CLOSE,0.01,4323.15,-2.7,STOP_HIT
2026-09-22 05:45:21,2377438020,CLOSE,0.01,4323.09,-2.77,STOP_HIT
2026-09-22 05:46:21,2377443679,OPEN,0.01,4321.86,0.0,Momentum
2026-09-22 05:46:21,2377443695,OPEN,0.01,4321.87,0.0,Momentum
2026-09-22 05:46:44,2377443679,CLOSE,0.01,4324.89,-3.03,STOP_HIT
2026-09-22 05:46:44,2377443695,CLOSE,0.01,4324.78,-3.02,STOP_HIT
2026-09-22 05:47:45,2377449681,OPEN,0.01,4327.83,0.0,Momentum
2026-09-22 05:47:45,2377449733,OPEN,0.01,4327.77,0.0,Momentum
2026-09-22 05:49:16,2377455003,OPEN,0.01,4329.27,0.0,Momentum
2026-09-22 05:49:16,2377455011,OPEN,0.01,4329.21,0.0,Momentum
2026-09-22 05:49:24,2377455426,OPEN,0.01,4329.57,0.0,Momentum
2026-09-22 05:49:25,2377455431,OPEN,0.01,4329.79,0.0,Momentum
2026-09-22 05:49:32,2377456207,OPEN,0.01,4331.19,0.0,Momentum
2026-09-22 05:49:32,2377456212,OPEN,0.01,4331.19,0.0,Momentum
2026-09-22 05:52:02,2377463926,OPEN,0.01,4332.7,0.0,Momentum
2026-09-22 05:52:02,2377463939,OPEN,0.01,4332.65,0.0,Momentum
2026-09-22 05:53:41,2377463926,CLOSE,0.01,4330.1,-2.6,STOP_HIT
2026-09-22 05:53:41,2377463939,CLOSE,0.01,4330.3,-2.55,STOP_HIT
2026-09-22 05:55:00,2377470754,OPEN,0.01,4327.79,0.0,Momentum
2026-09-22 05:55:01,2377470760,OPEN,0.01,4327.79,0.0,Momentum
2026-09-22 05:56:07,2377472805,OPEN,0.01,4326.8,0.0,Momentum
2026-09-22 05:56:07,2377472807,OPEN,0.01,4326.85,0.0,Momentum
2026-09-22 05:56:15,2377473389,OPEN,0.01,4325.41,0.0,Momentum
2026-09-22 05:56:15,2377473443,OPEN,0.01,4325.41,0.0,Momentum
2026-09-22 05:56:23,2377474726,OPEN,0.01,4325.28,0.0,Momentum
2026-09-22 05:59:55,2377481991,OPEN,0.01,4323.36,0.0,Momentum
2026-09-22 05:59:55,2377481993,OPEN,0.01,4323.36,0.0,Momentum
2026-09-22 06:00:13,2377484228,OPEN,0.01,4323.75,0.0,Momentum
2026-09-22 06:00:13,2377484233,OPEN,0.01,4323.75,0.0,Momentum
2026-09-22 06:00:37,2377485424,OPEN,0.01,4323.49,0.0,Momentum
2026-09-22 06:00:37,2377485433,OPEN,0.01,4323.49,0.0,Momentum
